1,20741013
2,20700171
4,21138212
8,21043198
16,21304770
32,21377053
64,20452464
128,20609924
256,20716632
512,20132829
1024,19824821
2048,19796181
4096,18702348
8192,15593761
16384,15593761
32768,6234611
65536,3586009
131072,1864093
262144,101997
524288,50031
1048576,24398
2097152,11870
4194304,5621
8388608,2607
16777216,1318
33554432,681
67108864,354
134217728,183
